,Total Return,CAGR,Sharpe Ratio,Sortino Ratio,Max Drawdown,Win Rate (%),Profit Factor,Total Trades
Momentum Algo,5.669405087250829,0.14196834800681746,0.9939553892583425,1.1488209677066994,-0.2209185124574774,62.67281105990783,2.1956213708031083,217.0
Mean Reversion Algo,1.182506226801228,0.05612107748048034,0.6432324186955786,0.4233130642350295,-0.11748042709584627,69.60352422907489,1.650403467671399,227.0
Volatility Algo (RSI),0.853965818417219,0.04413511155914018,0.6672639306431983,0.32414137543668375,-0.10491696620979263,68.6046511627907,1.9889422796818825,86.0
Reverse Arbitrage Algo (RSI),0.8430914229695474,0.04370547190226537,0.6669130574229651,0.3497040115021767,-0.09481304583154937,70.88607594936708,2.527692970681612,79.0
